2026/08/29 23:29:45.848, 2515 MHz, 51, 15.00 W, 0 %
2026/08/29 23:29:50.849, 2515 MHz, 51, 15.02 W, 0 %
2026/08/29 23:29:55.849, 2515 MHz, 51, 15.01 W, 0 %
2026/08/29 23:30:00.850, 2515 MHz, 51, 15.32 W, 0 %
2026/08/29 23:30:05.851, 2515 MHz, 51, 15.02 W, 0 %
2026/08/29 23:30:10.852, 2515 MHz, 51, 15.25 W, 0 %
2026/08/29 23:30:15.853, 2515 MHz, 51, 15.17 W, 0 %
2026/08/29 23:30:20.853, 2515 MHz, 51, 15.22 W, 0 %
2026/08/29 23:30:25.854, 2515 MHz, 51, 15.30 W, 0 %
2026/08/29 23:30:30.856, 2515 MHz, 51, 15.19 W, 0 %
2026/08/29 23:30:35.856, 2515 MHz, 51, 15.26 W, 0 %
2026/08/29 23:30:40.857, 2515 MHz, 51, 15.10 W, 0 %
2026/08/29 23:30:45.858, 2515 MHz, 51, 15.01 W, 0 %
2026/08/29 23:30:50.859, 2515 MHz, 51, 14.98 W, 0 %
2026/08/29 23:30:55.860, 2515 MHz, 51, 14.99 W, 0 %
2026/08/29 23:31:00.861, 2515 MHz, 51, 15.01 W, 0 %
2026/08/29 23:31:05.862, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:31:10.863, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:31:15.864, 2515 MHz, 51, 14.91 W, 0 %
2026/08/29 23:31:20.866, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:31:25.867, 2515 MHz, 51, 14.98 W, 0 %
2026/08/29 23:31:30.868, 2515 MHz, 51, 14.93 W, 0 %
2026/08/29 23:31:35.869, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:31:40.871, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:31:45.872, 2515 MHz, 51, 14.91 W, 0 %
2026/08/29 23:31:50.873, 2515 MHz, 51, 14.94 W, 0 %
2026/08/29 23:31:55.874, 2515 MHz, 51, 14.92 W, 0 %
2026/08/29 23:32:00.875, 2515 MHz, 51, 14.88 W, 0 %
2026/08/29 23:32:05.876, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:32:10.877, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:32:15.878, 2515 MHz, 51, 14.88 W, 0 %
2026/08/29 23:32:20.879, 2515 MHz, 51, 14.93 W, 0 %
2026/08/29 23:32:25.881, 2515 MHz, 51, 14.94 W, 0 %
2026/08/29 23:32:30.882, 2515 MHz, 51, 14.91 W, 0 %
2026/08/29 23:32:35.884, 2515 MHz, 51, 14.89 W, 0 %
2026/08/29 23:32:40.885, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:32:45.886, 2515 MHz, 51, 14.97 W, 0 %
2026/08/29 23:32:50.888, 2515 MHz, 51, 14.94 W, 0 %
2026/08/29 23:32:55.889, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:33:00.889, 2515 MHz, 51, 14.98 W, 0 %
2026/08/29 23:33:05.891, 2515 MHz, 51, 15.02 W, 0 %
2026/08/29 23:33:10.892, 2515 MHz, 51, 14.93 W, 0 %
2026/08/29 23:33:15.893, 2515 MHz, 51, 14.98 W, 0 %
2026/08/29 23:33:20.894, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:33:25.895, 2515 MHz, 51, 14.97 W, 0 %
2026/08/29 23:33:30.896, 2515 MHz, 51, 14.92 W, 0 %
2026/08/29 23:33:35.897, 2515 MHz, 51, 14.94 W, 0 %
2026/08/29 23:33:40.898, 2515 MHz, 51, 14.95 W, 0 %
2026/08/29 23:33:45.899, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:33:50.901, 2515 MHz, 51, 15.03 W, 0 %
2026/08/29 23:33:55.902, 2515 MHz, 51, 15.06 W, 0 %
2026/08/29 23:34:00.902, 2515 MHz, 51, 14.96 W, 0 %
2026/08/29 23:34:05.904, 2515 MHz, 51, 15.00 W, 0 %
2026/08/29 23:34:10.905, 2515 MHz, 51, 14.94 W, 0 %
2026/08/29 23:34:15.907, 2515 MHz, 51, 15.02 W, 0 %
2026/08/29 23:34:20.908, 2515 MHz, 51, 15.05 W, 0 %
2026/08/29 23:34:25.909, 2515 MHz, 51, 15.05 W, 0 %
2026/08/29 23:34:30.910, 2515 MHz, 51, 15.04 W, 0 %
2026/08/29 23:34:35.911, 2515 MHz, 51, 15.02 W, 0 %
2026/08/29 23:34:40.912, 2515 MHz, 51, 14.90 W, 0 %
2026/08/29 23:34:45.912, 2515 MHz, 51, 14.99 W, 0 %
2026/08/29 23:34:50.914, 2515 MHz, 51, 15.01 W, 0 %
2026/08/29 23:34:55.915, 2515 MHz, 51, 15.05 W, 0 %
